Division No.,Division Name,School No.,School Name,Grade,Hispanic,American_Indian_Alaska_Native ,Asian,Black,Native_Hawaiian_Pacific_Islander ,White,Two_More_Races,"TotalFull-time Students",Part-time Students,Totals
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,1,26,0,1,35,1,18,0,81,0,81
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,2,28,0,4,34,0,29,0,95,0,95
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,3,27,0,3,40,0,26,0,96,0,96
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,4,18,0,4,24,0,23,0,69,0,69
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,5,29,0,1,27,0,29,1,87,0,87
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,KG,22,0,2,26,0,30,0,80,0,80
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,PK,18,0,1,10,0,3,0,32,0,32
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,9,53,0,2,77,0,57,1,190,0,190
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,10,33,0,3,76,0,53,0,165,0,165
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,11,35,0,2,48,0,49,0,134,0,134
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,12,22,0,5,37,0,49,1,114,0,114
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,PG,1,0,0,0,0,2,0,3,0,3
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,6,45,0,3,52,0,62,0,162,0,162
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,7,46,0,3,62,0,62,2,175,0,175
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,8,32,0,2,64,0,57,3,158,0,158
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,1,0,0,0,6,0,28,1,35,0,35
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,2,1,0,0,8,0,35,1,45,0,45
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,3,0,0,0,2,0,36,0,38,0,38
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,4,0,0,0,6,0,24,1,31,0,31
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,5,0,0,0,7,0,42,0,49,0,49
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,KG,0,0,1,8,0,30,0,39,0,39
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,PK,1,0,2,6,0,8,1,18,0,18
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,6,2,0,0,6,0,30,0,38,0,38
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,7,1,0,0,4,0,27,0,32,0,32
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,8,0,0,0,3,0,31,0,34,0,34
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,9,3,1,0,7,1,40,0,52,0,52
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,10,4,0,0,4,0,34,0,42,0,42
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,11,0,0,1,6,0,37,0,44,0,44
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,12,1,0,1,6,0,31,1,40,0,40
