Div. No.,Division Name,School No.,School Name,Low Grade,High Grade,Grade PK,Grade JK,Grade KG,Grade T1,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Grade PG,Total Full-Time,Part-time Students,Total
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,PK,5,<,,<,,33,57,62,77,49,,,,,,,,,289,,289.00
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,9,12,,,,,,,,,,,,,106,114,96,67,<,384,,384.00
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,6,8,,,,,,,,,,138,127,132,,,,,,397,,397.00
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,PK,5,<,,<,,<,13,17,11,11,,,,,,,,,67,,67.00
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,6,12,,,,,,,,,,18,18,17,13,17,12,10,,105,,105.00
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,PK,5,<,,<,,37,50,61,80,67,,,,,,,,,308,,308.00
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,PK,5,<,,<,,14,14,23,69,73,,,,,,,,,203,,203.00
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,9,12,,,,,,,,,,,,,123,111,97,80,<,413,,413.00
1,ACCOMACK CO PBLC SCHS,703,NANDUA MIDDLE,6,8,,,,,,,,,,119,135,110,,,,,,364,,364.00
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,PK,5,,,<,,<,12,31,49,60,,,,,,,,,163,,163.00
1,ACCOMACK CO PBLC SCHS,530,TANGIER COMBINED,KG,12,,,,,,,<,,,<,<,<,<,<,<,<,,14,,14.00
2,ALBEMARLE CO PBLC SCHS,160,AGNOR-HURT ELEM,PK,5,28,,37,,48,40,37,45,57,,,,,,,,,292,,292.00
2,ALBEMARLE CO PBLC SCHS,1060,ALBEMARLE COUNTY COMMUNITY PUBLIC CHARTER,6,8,,,,,,,,,,<,<,<,,,,,,10,,10.00
2,ALBEMARLE CO PBLC SCHS,880,ALBEMARLE HIGH,9,12,,,,,,,,,,,,,160,156,126,117,,559,,559.00
2,ALBEMARLE CO PBLC SCHS,1053,BAKER-BUTLER ELEM,PK,5,<,,25,,27,31,31,30,24,,,,,,,,,171,,171.00
2,ALBEMARLE CO PBLC SCHS,100,BROADUS WOOD ELEM,PK,5,<,,<,,<,<,<,12,10,,,,,,,,,54,,54.00
2,ALBEMARLE CO PBLC SCHS,941,BROWNSVILLE ELEM,PK,5,<,,14,,19,11,10,12,14,,,,,,,,,83,,83.00
2,ALBEMARLE CO PBLC SCHS,340,CROZET ELEM,KG,5,,,12,,10,18,15,26,23,,,,,,,,,104,,104.00
2,ALBEMARLE CO PBLC SCHS,10,HOLLYMEAD ELEM,PK,5,<,,10,,<,<,13,11,11,,,,,,,,,58,,58.00
2,ALBEMARLE CO PBLC SCHS,950,JACK JOUETT MIDDLE,6,8,,,,,,,,,,108,77,94,,,,,,279,,279.00
2,ALBEMARLE CO PBLC SCHS,69,JACKSON P BURLEY MIDDLE,6,8,,,,,,,,,,76,86,79,,,,,,241,,241.00
2,ALBEMARLE CO PBLC SCHS,942,JOSEPH T HENLEY MIDDLE,6,8,,,,,,,,,,32,44,25,,,,,,101,,101.00
2,ALBEMARLE CO PBLC SCHS,20,LESLIE H WALTON MIDDLE,6,8,,,,,,,,,,47,44,41,,,,,,132,,132.00
2,ALBEMARLE CO PBLC SCHS,40,MARY CARR GREER ELEM,PK,5,36,,82,,94,64,88,69,63,,,,,,,,,496,,496.00
2,ALBEMARLE CO PBLC SCHS,250,MERIWETHER LEWIS ELEM,KG,5,,,<,,<,<,10,<,<,,,,,,,,,46,,46.00
2,ALBEMARLE CO PBLC SCHS,1052,MONTICELLO HIGH,9,12,,,,,,,,,,,,,96,97,98,74,,365,,365.00
2,ALBEMARLE CO PBLC SCHS,1051,MORTIMER Y SUTHERLAND MIDDLE,6,8,,,,,,,,,,40,33,30,,,,,,103,,103.00
2,ALBEMARLE CO PBLC SCHS,890,MURRAY HIGH,9,12,,,,,,,,,,,,,<,<,<,<,,25,,25.00
2,ALBEMARLE CO PBLC SCHS,150,PAUL H CALE ELEM,PK,5,37,,37,,43,42,56,43,48,,,,,,,,,306,,306.00
2,ALBEMARLE CO PBLC SCHS,540,RED HILL ELEM,PK,5,11,,15,,21,19,15,12,14,,,,,,,,,107,,107.00
2,ALBEMARLE CO PBLC SCHS,30,SCOTTSVILLE ELEM,PK,5,15,,17,,19,17,21,23,18,,,,,,,,,130,,130.00
2,ALBEMARLE CO PBLC SCHS,920,STONE ROBINSON ELEM,PK,5,19,,19,,18,23,15,23,20,,,,,,,,,137,,137.00
2,ALBEMARLE CO PBLC SCHS,240,STONY POINT ELEM,KG,5,<,,15,,16,<,17,12,14,,,,,,,,,84,,84.00
2,ALBEMARLE CO PBLC SCHS,910,VIRGINIA L MURRAY ELEM,PK,5,,,<,,<,<,<,<,<,,,,,,,,,20,,20.00
2,ALBEMARLE CO PBLC SCHS,140,WESTERN ALBEMARLE HIGH,9,12,,,,,,,,,,,,,38,27,33,27,,125,,125.00
2,ALBEMARLE CO PBLC SCHS,930,WOODBROOK ELEM,PK,5,18,,27,,25,26,37,35,27,,,,,,,,,195,,195.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,120,CHARLES BARRETT ELEM,PK,5,10,,27,,26,26,29,33,21,,,,,,,,,172,,172.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,160,CORA KELLY MAGNET ELEM,PK,5,<,,55,,69,55,63,57,50,,,,,,,,,353,,353.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,110,DOUGLAS MACARTHUR ELEM,KG,5,,,51,,48,42,48,51,50,,,,,,,,,290,<,291.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,140,FRANCIS C. HAMMOND MIDDLE,6,8,,,,,,,,,,399,413,347,,,,,,1159,<,1160.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,100,GEORGE MASON ELEM,KG,5,,,17,,26,35,30,37,31,,,,,,,,,176,,176.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,130,GEORGE WASHINGTON MIDDLE,6,8,,,,,,,,,,237,224,187,,,,,,648,,648.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,220,JAMES K POLK ELEM,KG,5,35,,107,,91,99,89,83,99,,,,,,,,,603,,603.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,90,JEFFERSON-HOUSTON ELEM,PK,8,16,,33,,58,49,41,44,55,58,33,34,,,,,,421,,421.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,230,JOHN ADAMS ELEM,PK,5,74,,110,,99,128,108,118,119,,,,,,,,,756,<,758.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,80,LYLES-CROUCH ELEM,KG,5,,,10,,15,21,16,20,21,,,,,,,,,103,,103.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,60,MAURY ELEM,KG,5,,,25,,17,22,34,19,28,,,,,,,,,145,,145.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,30,MOUNT VERNON ELEM,PK,5,<,,55,,91,95,71,85,104,,,,,,,,,502,,502.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,50,PATRICK HENRY ELEM,KG,6,35,,73,,79,83,74,78,67,45,,,,,,,,534,,534.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,333,SAMUEL W TUCKER ELEM,KG,5,<,,97,,98,87,73,78,68,,,,,,,,,502,,502.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,210,TC WILLIAMS HIGH,9,12,,,,,,,,,,,,,846,683,556,550,,2635,<,2636.00
101,ALEXANDRIA CITY PUBLIC SCHOOLS,190,WILLIAM RAMSAY ELEM,KG,5,31,,127,,144,128,141,113,130,,,,,,,,,814,,814.00
3,ALLEGHANY CO PBLC SCHS,310,ALLEGHANY HIGH,9,12,,,,,,,,,,,,,84,79,73,60,,296,,296.00
3,ALLEGHANY CO PBLC SCHS,110,CALLAGHAN ELEM,KG,5,<,<,20,,12,12,12,17,17,,,,,,,,,99,,99.00
3,ALLEGHANY CO PBLC SCHS,1040,CLIFTON MIDDLE,6,8,,,,,,,,,,72,83,64,,,,,,219,,219.00
3,ALLEGHANY CO PBLC SCHS,1041,MT VIEW ELEM,KG,5,14,<,25,,31,31,36,38,37,,,,,,,,,220,,220.00
3,ALLEGHANY CO PBLC SCHS,90,SHARON ELEM,KG,5,12,<,14,,12,20,16,11,14,,,,,,,,,105,,105.00
4,AMELIA CO PBLC SCHS,220,AMELIA COUNTY ELEM,PK,4,24,,61,,59,81,69,72,,,,,,,,,,366,,366.00
4,AMELIA CO PBLC SCHS,10,AMELIA COUNTY HIGH,9,12,,,,,,,,,,,,,69,57,43,43,,212,,212.00
4,AMELIA CO PBLC SCHS,210,AMELIA COUNTY MIDDLE,5,8,,,,,,,,,69,60,51,49,,,,,,229,,229.00
5,AMHERST CO PBLC SCHS,780,AMELON ELEM,PK,5,22,,41,,26,43,39,37,42,,,,,,,,,250,,250.00
5,AMHERST CO PBLC SCHS,750,AMHERST COUNTY HIGH,9,12,,,,,,,,,,,,,152,153,125,139,<,573,,573.00
5,AMHERST CO PBLC SCHS,790,AMHERST ELEM,PK,5,<,,18,,19,24,13,27,27,,,,,,,,,131,,131.00
5,AMHERST CO PBLC SCHS,670,AMHERST MIDDLE,6,8,,,,,,,,,,66,49,59,,,,,,174,,174.00
5,AMHERST CO PBLC SCHS,770,CENTRAL ELEM,PK,5,31,,37,,32,40,49,34,37,,,,,,,,,260,,260.00
5,AMHERST CO PBLC SCHS,760,ELON ELEM,PK,5,<,,17,,26,20,15,22,20,,,,,,,,,124,,124.00
5,AMHERST CO PBLC SCHS,500,MADISON HEIGHTS ELEM,PK,5,32,,62,,51,40,44,59,51,,,,,,,,,339,,339.00
5,AMHERST CO PBLC SCHS,20,MONELISON MIDDLE,6,8,,,,,,,,,,128,101,86,,,,,,315,,315.00
5,AMHERST CO PBLC SCHS,740,TEMPERANCE ELEM,PK,5,,,<,,<,10,13,14,<,,,,,,,,,60,,60.00
6,APPOMATTOX CO PBLC SCHS,260,APPOMATTOX COUNTY HIGH,9,12,,,,,,,,,,,,,80,79,70,70,,299,,299.00
6,APPOMATTOX CO PBLC SCHS,110,APPOMATTOX ELEM,3,5,,,,,,,96,98,91,,,,,,,,,285,,285.00
6,APPOMATTOX CO PBLC SCHS,160,APPOMATTOX MIDDLE,6,8,,,,,,,,,,81,60,80,,,,,,221,,221.00
6,APPOMATTOX CO PBLC SCHS,250,APPOMATTOX PRIMARY,PK,2,50,,89,,79,88,,,,,,,,,,,,306,,306.00
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,PK,5,22,,44,,44,51,57,49,60,,,,,,,,,327,,327.00
7,ARLINGTON CO PBLC SCHS,618,ARLINGTON COMMUNITY HIGH ,9,12,,,,,,,,,,,,,<,<,17,41,,71,,71.00
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,PK,5,14,,22,,22,27,26,29,19,,,,,,,,,159,,159.00
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,PK,5,32,,33,,24,18,17,11,15,,,,,,,,,150,,150.00
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,PK,5,18,,15,,18,20,30,19,20,,,,,,,,,140,,140.00
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,PK,5,24,,39,,30,35,46,36,35,,,,,,,,,245,,245.00
7,ARLINGTON CO PBLC SCHS,250,BARRETT ELEM,PK,5,44,,49,,50,46,48,50,62,,,,,,,,,349,,349.00
7,ARLINGTON CO PBLC SCHS,615,CAMPBELL ELEM,PK,5,37,,37,,27,32,33,35,34,,,,,,,,,235,,235.00
7,ARLINGTON CO PBLC SCHS,90,CARLIN SPRINGS ELEM,PK,5,62,,64,,56,81,74,80,81,,,,,,,,,498,,498.00
7,ARLINGTON CO PBLC SCHS,622,CLAREMONT IMMERSION,PK,5,25,,38,,53,29,37,58,50,,,,,,,,,290,,290.00
7,ARLINGTON CO PBLC SCHS,626,DISCOVERY ELEM,PK,5,<,,<,,<,<,<,<,<,,,,,,,,,26,,26.00
7,ARLINGTON CO PBLC SCHS,200,DREW MODEL ELEM,PK,5,58,,53,,48,53,66,49,43,,,,,,,,,370,,370.00
7,ARLINGTON CO PBLC SCHS,111,FRANCIS SCOTT KEY ELEM,PK,5,30,,49,,53,51,39,59,40,,,,,,,,,321,,321.00
7,ARLINGTON CO PBLC SCHS,100,GLEBE ELEM,PK,5,<,,14,,23,19,16,17,27,,,,,,,,,118,,118.00
7,ARLINGTON CO PBLC SCHS,611,GUNSTON MIDDLE,6,8,,,,,,,,,,137,115,127,,,,,,379,,379.00
7,ARLINGTON CO PBLC SCHS,160,HENRY ELEM,PK,5,19,,30,,30,34,25,38,33,,,,,,,,,209,,209.00
7,ARLINGTON CO PBLC SCHS,614,HOFFMAN-BOSTON ELEM,PK,5,70,,37,,22,41,34,33,37,,,,,,,,,274,,274.00
7,ARLINGTON CO PBLC SCHS,440,JAMESTOWN ELEM,PK,5,15,,<,,<,<,<,,,,,,,,,,,21,,21.00
7,ARLINGTON CO PBLC SCHS,180,JEFFERSON MIDDLE,6,8,,,,,,,,,,158,169,168,,,,,,495,,495.00
7,ARLINGTON CO PBLC SCHS,500,KENMORE MIDDLE,6,8,,,,,,,,,,188,191,154,,,,,,533,,533.00
7,ARLINGTON CO PBLC SCHS,460,LONG BRANCH ELEM,PK,5,22,,29,,36,40,36,33,32,,,,,,,,,228,,228.00
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,PK,5,<,,<,,17,10,15,10,14,,,,,,,,,76,,76.00
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,KG,5,,,<,,<,<,<,<,,,,,,,,,,21,,21.00
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,PK,5,12,,31,,35,27,39,43,31,,,,,,,,,218,,218.00
7,ARLINGTON CO PBLC SCHS,510,RANDOLPH ELEM,PK,5,43,,58,,48,54,53,48,55,,,,,,,,,359,,359.00
7,ARLINGTON CO PBLC SCHS,240,SWANSON MIDDLE,6,8,,,,,,,,,,59,59,73,,,,,,191,,191.00
7,ARLINGTON CO PBLC SCHS,420,TAYLOR ELEM,PK,5,<,,<,,<,<,<,<,<,,,,,,,,,31,,31.00
7,ARLINGTON CO PBLC SCHS,211,TUCKAHOE ELEM,PK,5,<,,<,,<,,<,<,<,,,,,,,,,12,,12.00
7,ARLINGTON CO PBLC SCHS,450,WAKEFIELD HIGH,9,12,,,,,,,,,,,,,300,315,294,239,,1148,,1148.00
7,ARLINGTON CO PBLC SCHS,80,WASHINGTON LEE HIGH,9,12,,,,,,,,,,,,,205,238,251,201,,895,,895.00
7,ARLINGTON CO PBLC SCHS,480,WILLIAMSBURG MIDDLE,6,8,,,,,,,,,,73,60,41,,,,,,174,,174.00
7,ARLINGTON CO PBLC SCHS,330,YORKTOWN HIGH,9,12,,,,,,,,,,,,,93,89,75,79,,336,,336.00
8,AUGUSTA CO PBLC SCHS,212,BEVERLEY MANOR MIDDLE,6,8,,,,,,,,,,104,103,91,,,,,,298,,298.00
8,AUGUSTA CO PBLC SCHS,660,BUFFALO GAP HIGH,9,12,,,,,,,,,,,,,46,49,32,35,,162,,162.00
8,AUGUSTA CO PBLC SCHS,30,CASSELL ELEM,PK,5,48,,39,,57,46,48,56,55,,,,,,,,,349,,349.00
8,AUGUSTA CO PBLC SCHS,140,CHURCHVILLE ELEM,PK,5,16,,24,,24,22,31,30,27,,,,,,,,,174,,174.00
8,AUGUSTA CO PBLC SCHS,370,CRAIGSVILLE ELEM,PK,5,12,,15,,16,<,11,16,10,,,,,,,,,88,,88.00
8,AUGUSTA CO PBLC SCHS,842,EDWARD G CLYMORE ELEM,PK,5,43,,47,,41,50,61,57,67,,,,,,,,,366,,366.00
8,AUGUSTA CO PBLC SCHS,670,FT DEFIANCE HIGH,9,12,,,,,,,,,,,,,79,57,62,56,,254,,254.00
8,AUGUSTA CO PBLC SCHS,843,GUY K STUMP ELEM,PK,5,30,,21,,20,24,32,24,26,,,,,,,,,177,,177.00
8,AUGUSTA CO PBLC SCHS,40,NORTH RIVER ELEM,PK,5,16,,24,,14,25,23,18,19,,,,,,,,,139,,139.00
8,AUGUSTA CO PBLC SCHS,740,RIVERHEADS ELEM,PK,5,46,,53,,36,50,39,38,52,,,,,,,,,314,,314.00
8,AUGUSTA CO PBLC SCHS,680,RIVERHEADS HIGH,9,12,,,,,,,,,,,,,41,26,35,30,,132,,132.00
8,AUGUSTA CO PBLC SCHS,90,S GORDON STEWART MIDDLE,6,8,,,,,,,,,,65,66,75,,,,,,206,,206.00
8,AUGUSTA CO PBLC SCHS,440,STUARTS DRAFT ELEM,PK,5,29,,41,,39,41,39,42,54,,,,,,,,,285,,285.00
8,AUGUSTA CO PBLC SCHS,730,STUARTS DRAFT HIGH,9,12,,,,,,,,,,,,,67,54,55,45,,221,,221.00
8,AUGUSTA CO PBLC SCHS,60,STUARTS DRAFT MIDDLE,6,8,,,,,,,,,,69,64,89,,,,,,222,,222.00
8,AUGUSTA CO PBLC SCHS,640,WILSON ELEM,PK,5,34,,42,,46,37,36,46,46,,,,,,,,,287,,287.00
8,AUGUSTA CO PBLC SCHS,720,WILSON MEMORIAL HIGH,9,12,,,,,,,,,,,,,63,66,51,41,,221,,221.00
8,AUGUSTA CO PBLC SCHS,844,WILSON MIDDLE,6,8,,,,,,,,,,83,75,73,,,,,,231,,231.00
9,BATH CO PBLC SCHS,140,BATH COUNTY HIGH,8,12,,,,,,,,,,,,21,19,14,16,16,,86,,86.00
9,BATH CO PBLC SCHS,120,MILLBORO ELEM,PK,7,11,,11,,13,11,<,10,<,12,<,,,,,,,87,,87.00
9,BATH CO PBLC SCHS,150,VALLEY ELEM,PK,7,12,,13,,13,12,12,17,18,<,13,,,,,,,118,,118.00
10,BEDFORD CO PBLC SCHS,480,BEDFORD ELEM,2,5,,,,,,77,87,69,80,,,,,,,,,313,,313.00
10,BEDFORD CO PBLC SCHS,490,BEDFORD MIDDLE,6,8,,,,,,,,,,126,103,106,,,,,,335,,335.00
10,BEDFORD CO PBLC SCHS,1200,BEDFORD PRIMARY,PK,1,23,,71,,79,,,,,,,,,,,,,173,,173.00
10,BEDFORD CO PBLC SCHS,30,BIG ISLAND ELEM,PK,5,,,<,,15,11,14,14,<,,,,,,,,,69,,69.00
10,BEDFORD CO PBLC SCHS,160,BOONSBORO ELEM,KG,5,,,<,,10,10,21,14,17,,,,,,,,,81,,81.00
10,BEDFORD CO PBLC SCHS,500,FOREST ELEM,KG,5,,,<,,<,<,<,14,10,,,,,,,,,54,,54.00
10,BEDFORD CO PBLC SCHS,1211,FOREST MIDDLE,6,8,,,,,,,,,,60,73,55,,,,,,188,,188.00
10,BEDFORD CO PBLC SCHS,1214,GOODVIEW ELEM,PK,5,18,,28,,41,45,34,38,52,,,,,,,,,256,,256.00
10,BEDFORD CO PBLC SCHS,980,HUDDLESTON ELEM,PK,5,<,,25,,26,25,27,25,30,,,,,,,,,166,,166.00
10,BEDFORD CO PBLC SCHS,1212,JEFFERSON FOREST HIGH,9,12,,,,,,,,,,,,,83,62,51,58,,254,,254.00
10,BEDFORD CO PBLC SCHS,1180,LIBERTY HIGH,9,12,,,,,,,,,,,,,107,103,90,118,,418,,418.00
10,BEDFORD CO PBLC SCHS,970,MONETA ELEM,PK,5,11,,29,,19,19,19,18,26,,,,,,,,,141,,141.00
10,BEDFORD CO PBLC SCHS,180,MONTVALE ELEM,PK,5,<,,26,,24,27,26,29,25,,,,,,,,,166,,166.00
10,BEDFORD CO PBLC SCHS,610,NEW LONDON ACADEMY ELEM,PK,5,15,,12,,<,<,12,15,23,,,,,,,,,91,,91.00
10,BEDFORD CO PBLC SCHS,1170,OTTER RIVER ELEM,PK,5,<,,18,,11,10,13,12,15,,,,,,,,,80,,80.00
10,BEDFORD CO PBLC SCHS,1190,STAUNTON RIVER HIGH,9,12,,,,,,,,,,,,,139,120,98,129,,486,,486.00
10,BEDFORD CO PBLC SCHS,1191,STAUNTON RIVER MIDDLE,6,8,,,,,,,,,,147,136,134,,,,,,417,,417.00
10,BEDFORD CO PBLC SCHS,640,STEWARTSVILLE ELEM,PK,5,13,,33,,43,45,33,34,36,,,,,,,,,237,,237.00
10,BEDFORD CO PBLC SCHS,1213,THOMAS JEFFERSON ELEM,PK,5,<,,20,,18,28,31,35,24,,,,,,,,,158,,158.00
11,BLAND CO PBLC SCHS,250,BLAND COUNTY ELEM,PK,6,<,,27,,23,28,26,25,26,23,,,,,,,,184,,184.00
11,BLAND CO PBLC SCHS,260,BLAND COUNTY HIGH,7,12,,,,,,,,,,,33,32,30,22,32,20,,169,,169.00
12,BOTETOURT CO PBLC SCHS,220,BRECKINRIDGE ELEM,PK,5,<,,15,,<,11,16,11,12,,,,,,,,,75,,75.00
12,BOTETOURT CO PBLC SCHS,20,BUCHANAN ELEM,PK,5,17,,17,,13,21,23,18,17,,,,,,,,,126,,126.00
12,BOTETOURT CO PBLC SCHS,420,CENTRAL ACADEMY MIDDLE,6,8,,,,,,,,,,41,46,27,,,,,,114,,114.00
12,BOTETOURT CO PBLC SCHS,390,CLOVERDALE ELEM,KG,5,<,,10,,<,11,<,<,<,,,,,,,,,51,,51.00
12,BOTETOURT CO PBLC SCHS,400,COLONIAL ELEM,PK,5,<,,20,,18,18,19,16,<,,,,,,,,,102,,102.00
12,BOTETOURT CO PBLC SCHS,30,EAGLE ROCK ELEM,PK,5,10,,<,,12,11,14,12,<,,,,,,,,,74,,74.00
12,BOTETOURT CO PBLC SCHS,460,GREENFIELD ELEM,PK,5,<,,19,,28,20,22,20,19,,,,,,,,,132,,132.00
12,BOTETOURT CO PBLC SCHS,430,JAMES RIVER HIGH,9,12,,,,,,,,,,,,,45,41,27,32,,145,,145.00
12,BOTETOURT CO PBLC SCHS,440,LORD BOTETOURT HIGH,9,12,,,,,,,,,,,,,55,54,37,31,,177,,177.00
12,BOTETOURT CO PBLC SCHS,450,READ MOUNTAIN MIDDLE,6,8,,,,,,,,,,74,57,50,,,,,,181,,181.00
12,BOTETOURT CO PBLC SCHS,40,TROUTVILLE ELEM,PK,5,<,,18,,14,18,14,<,14,,,,,,,,,88,,88.00
102,BRISTOL CITY PUBLIC SCHOOLS,60,HIGHLAND VIEW ELEM,PK,5,<,,16,,20,26,23,18,19,,,,,,,,,130,,130.00
102,BRISTOL CITY PUBLIC SCHOOLS,100,JOSEPH VAN PELT ELEM,PK,5,22,,43,,45,37,43,28,35,,,,,,,,,253,,253.00
102,BRISTOL CITY PUBLIC SCHOOLS,70,STONEWALL JACKSON ELEM,PK,5,12,,22,,20,25,24,29,31,,,,,,,,,163,,163.00
102,BRISTOL CITY PUBLIC SCHOOLS,80,VIRGINIA HIGH,9,12,,,,,,,,,,,,,92,94,92,76,,354,,354.00
102,BRISTOL CITY PUBLIC SCHOOLS,10,VIRGINIA MIDDLE,6,8,,,,,,,,,,101,91,92,,,,,,284,,284.00
102,BRISTOL CITY PUBLIC SCHOOLS,90,WASHINGTON LEE ELEM,PK,5,<,,22,,20,27,28,19,16,,,,,,,,,141,,141.00
13,BRUNSWICK CO PBLC SCHS,650,BRUNSWICK HIGH,9,12,,,,,,,,,,,,,78,90,56,49,,273,,273.00
13,BRUNSWICK CO PBLC SCHS,660,JAMES S RUSSELL MIDDLE,6,8,,,,,,,,,,77,88,81,,,,,,246,,246.00
13,BRUNSWICK CO PBLC SCHS,690,MEHERRIN POWELLTON ELEM,PK,5,<,,17,,24,22,38,26,31,,,,,,,,,166,,166.00
13,BRUNSWICK CO PBLC SCHS,700,RED OAK-STURGEON ELEM,PK,5,<,,26,,24,27,26,25,17,,,,,,,,,146,,146.00
13,BRUNSWICK CO PBLC SCHS,720,TOTARO ELEM,PK,5,10,,28,,34,43,35,39,25,,,,,,,,,214,,214.00
