Division No.,Division Name,School No.,School Name,Grade,Hispanic,American_Indian_Alaska_Native,Asian,Black,Native_Hawaiian_Pacific_Islander,White,Two_More_Races,"TotalFull-time Students",Part-time Students,Totals
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,1,21,1,2,34,0,30,0,88,0,88
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,2,27,0,2,37,0,21,0,87,0,87
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,3,26,0,4,33,0,30,0,93,0,93
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,4,26,0,2,38,0,31,0,97,0,97
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,5,18,0,3,30,0,26,1,78,0,77
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,KG,22,0,2,22,0,29,0,75,0,75
1,ACCOMACK CO PBLC SCHS,701,ACCAWMACKE ELEM,PK,16,0,1,14,0,1,0,32,0,32
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,9,36,0,2,73,0,64,4,179,0,175
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,10,49,0,2,63,0,47,1,162,0,161
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,11,38,0,2,63,0,53,0,156,0,156
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,12,31,0,1,47,0,45,1,125,0,124
1,ACCOMACK CO PBLC SCHS,540,ARCADIA HIGH,PG,0,0,0,1,0,1,0,2,0,2
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,6,63,0,1,62,0,47,1,174,0,173
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,7,50,0,3,52,0,67,0,172,0,172
1,ACCOMACK CO PBLC SCHS,704,ARCADIA MIDDLE,8,45,0,3,62,0,61,2,173,0,171
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,1,0,0,1,7,0,33,0,41,0,41
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,2,0,0,0,7,0,27,1,35,0,34
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,3,1,0,0,7,0,36,1,45,0,44
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,4,0,0,0,2,0,35,0,37,0,37
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,5,0,0,0,6,0,25,1,32,0,31
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,KG,1,0,2,7,0,21,1,32,0,31
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,PK,0,0,0,5,0,9,0,14,0,14
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,6,0,0,0,7,0,38,0,45,0,45
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,7,2,0,0,6,0,27,0,35,0,35
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,8,1,0,0,6,0,28,0,35,0,35
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,9,0,0,0,4,0,29,0,33,0,33
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,10,3,1,0,7,0,43,0,54,0,54
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,11,4,0,0,4,0,36,0,44,0,44
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,12,0,0,1,6,0,33,0,40,0,40
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,1,22,0,1,33,0,30,0,86,0,86
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,2,23,0,0,21,0,34,0,78,0,78
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,3,18,0,1,37,0,33,0,89,0,89
