Div Name,School Name,Sch Type,"LowGrade","HighGrade",Subject,PassRate
ACCOMACK CO PBLC SCHS,ACCAWMACKE ELEM,Elem,PK,5,English: Reading,67
ACCOMACK CO PBLC SCHS,ACCAWMACKE ELEM,Elem,PK,5,History & Social Sciences,87
ACCOMACK CO PBLC SCHS,ACCAWMACKE ELEM,Elem,PK,5,Mathematics,78
ACCOMACK CO PBLC SCHS,ACCAWMACKE ELEM,Elem,PK,5,Science,74
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,English: Reading,82
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,English: Writing,84
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,History & Social Sciences,74
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,Mathematics,76
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,Science,76
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,English: Reading,67
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,English: Writing,64
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,History & Social Sciences,78
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,Mathematics,70
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,Science,77
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE ELEM,Elem,PK,5,English: Reading,82
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE ELEM,Elem,PK,5,History & Social Sciences,76
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE ELEM,Elem,PK,5,Mathematics,80
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE ELEM,Elem,PK,5,Science,88
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,English: Reading,82
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,English: Writing,81
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,History & Social Sciences,85
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,Mathematics,84
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,Science,86
ACCOMACK CO PBLC SCHS,KEGOTANK ELEM,Elem,PK,5,English: Reading,68
ACCOMACK CO PBLC SCHS,KEGOTANK ELEM,Elem,PK,5,History & Social Sciences,88
ACCOMACK CO PBLC SCHS,KEGOTANK ELEM,Elem,PK,5,Mathematics,80
ACCOMACK CO PBLC SCHS,KEGOTANK ELEM,Elem,PK,5,Science,78
ACCOMACK CO PBLC SCHS,METOMPKIN ELEM,Elem,PK,5,English: Reading,53
ACCOMACK CO PBLC SCHS,METOMPKIN ELEM,Elem,PK,5,History & Social Sciences,61
ACCOMACK CO PBLC SCHS,METOMPKIN ELEM,Elem,PK,5,Mathematics,58
ACCOMACK CO PBLC SCHS,METOMPKIN ELEM,Elem,PK,5,Science,59
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,English: Reading,83
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,English: Writing,80
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,History & Social Sciences,71
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,Mathematics,81
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,Science,81
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,English: Reading,71
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,English: Writing,68
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,History & Social Sciences,91
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,Mathematics,76
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,Science,71
ACCOMACK CO PBLC SCHS,PUNGOTEAGUE ELEM,Elem,PK,5,English: Reading,61
ACCOMACK CO PBLC SCHS,PUNGOTEAGUE ELEM,Elem,PK,5,History & Social Sciences,89
ACCOMACK CO PBLC SCHS,PUNGOTEAGUE ELEM,Elem,PK,5,Mathematics,73
ACCOMACK CO PBLC SCHS,PUNGOTEAGUE ELEM,Elem,PK,5,Science,70
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,English: Reading,64
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,English: Writing,89
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,History & Social Sciences,79
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,Mathematics,63
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,Science,82
ALBEMARLE CO PBLC SCHS,AGNOR-HURT ELEM,Elem,PK,5,English: Reading,72
ALBEMARLE CO PBLC SCHS,AGNOR-HURT ELEM,Elem,PK,5,History & Social Sciences,95
ALBEMARLE CO PBLC SCHS,AGNOR-HURT ELEM,Elem,PK,5,Mathematics,70
ALBEMARLE CO PBLC SCHS,AGNOR-HURT ELEM,Elem,PK,5,Science,83
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,English: Reading,53
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,English: Writing,41
