Div Name,School Name,Sch Type,"LowGrade","HighGrade",Subject,PassRate
ACCOMACK CO PBLC SCHS,ACCAWMACKE ELEM,Elem,PK,5,English: Reading,70
ACCOMACK CO PBLC SCHS,ACCAWMACKE ELEM,Elem,PK,5,History & Social Sciences,85
ACCOMACK CO PBLC SCHS,ACCAWMACKE ELEM,Elem,PK,5,Mathematics,76
ACCOMACK CO PBLC SCHS,ACCAWMACKE ELEM,Elem,PK,5,Science,72
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,English: Reading,76
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,English: Writing,76
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,History & Social Sciences,75
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,Mathematics,76
ACCOMACK CO PBLC SCHS,ARCADIA HIGH,High,9,12,Science,80
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,English: Reading,72
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,English: Writing,66
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,History & Social Sciences,91
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,Mathematics,72
ACCOMACK CO PBLC SCHS,ARCADIA MIDDLE ,Middle,6,8,Science,66
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE ELEM,Elem,PK,5,English: Reading,85
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE ELEM,Elem,PK,5,History & Social Sciences,81
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE ELEM,Elem,PK,5,Mathematics,81
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE ELEM,Elem,PK,5,Science,87
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,English: Reading,84
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,English: Writing,80
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,History & Social Sciences,86
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,Mathematics,87
ACCOMACK CO PBLC SCHS,CHINCOTEAGUE HIGH,Combined,6,12,Science,89
ACCOMACK CO PBLC SCHS,KEGOTANK ELEM,Elem,PK,5,English: Reading,68
ACCOMACK CO PBLC SCHS,KEGOTANK ELEM,Elem,PK,5,History & Social Sciences,78
ACCOMACK CO PBLC SCHS,KEGOTANK ELEM,Elem,PK,5,Mathematics,76
ACCOMACK CO PBLC SCHS,KEGOTANK ELEM,Elem,PK,5,Science,68
ACCOMACK CO PBLC SCHS,METOMPKIN ELEM,Elem,PK,5,English: Reading,61
ACCOMACK CO PBLC SCHS,METOMPKIN ELEM,Elem,PK,5,History & Social Sciences,55
ACCOMACK CO PBLC SCHS,METOMPKIN ELEM,Elem,PK,5,Mathematics,58
ACCOMACK CO PBLC SCHS,METOMPKIN ELEM,Elem,PK,5,Science,59
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,English: Reading,78
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,English: Writing,75
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,History & Social Sciences,74
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,Mathematics,77
ACCOMACK CO PBLC SCHS,NANDUA HIGH,High,9,12,Science,80
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,English: Reading,71
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,English: Writing,72
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,History & Social Sciences,80
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,Mathematics,73
ACCOMACK CO PBLC SCHS,NANDUA MIDDLE,Middle,6,8,Science,69
ACCOMACK CO PBLC SCHS,PUNGOTEAGUE ELEM,Elem,PK,5,English: Reading,68
ACCOMACK CO PBLC SCHS,PUNGOTEAGUE ELEM,Elem,PK,5,History & Social Sciences,83
ACCOMACK CO PBLC SCHS,PUNGOTEAGUE ELEM,Elem,PK,5,Mathematics,76
ACCOMACK CO PBLC SCHS,PUNGOTEAGUE ELEM,Elem,PK,5,Science,74
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,English: Reading,76
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,English: Writing,69
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,History & Social Sciences,95
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,Mathematics,69
ACCOMACK CO PBLC SCHS,TANGIER COMBINED,Combined,KG,12,Science,79
ALBEMARLE CO PBLC SCHS,AGNOR-HURT ELEM,Elem,PK,5,English: Reading,68
ALBEMARLE CO PBLC SCHS,AGNOR-HURT ELEM,Elem,PK,5,History & Social Sciences,91
ALBEMARLE CO PBLC SCHS,AGNOR-HURT ELEM,Elem,PK,5,Mathematics,64
ALBEMARLE CO PBLC SCHS,AGNOR-HURT ELEM,Elem,PK,5,Science,71
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,English: Reading,53
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,English: Writing,50
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,History & Social Sciences,
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,Mathematics,14
ALBEMARLE CO PBLC SCHS,ALBEMARLE CO PBLC SCHSCOMMUNITY PUBLIC CHARTER ,Middle,6,8,Science,89
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,English: Reading,92
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,English: Writing,87
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,History & Social Sciences,83
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,Mathematics,69
ALBEMARLE CO PBLC SCHS,ALBEMARLE HIGH,High,9,12,Science,83
ALBEMARLE CO PBLC SCHS,BAKER-BUTLER ELEM,Elem,PK,5,English: Reading,81
ALBEMARLE CO PBLC SCHS,BAKER-BUTLER ELEM,Elem,PK,5,History & Social Sciences,87
ALBEMARLE CO PBLC SCHS,BAKER-BUTLER ELEM,Elem,PK,5,Mathematics,81
ALBEMARLE CO PBLC SCHS,BAKER-BUTLER ELEM,Elem,PK,5,Science,81
ALBEMARLE CO PBLC SCHS,BENJAMIN F. YANCEY ELEM,Elem,KG,5,English: Reading,43
ALBEMARLE CO PBLC SCHS,BENJAMIN F. YANCEY ELEM,Elem,KG,5,History & Social Sciences,42
ALBEMARLE CO PBLC SCHS,BENJAMIN F. YANCEY ELEM,Elem,KG,5,Mathematics,44
ALBEMARLE CO PBLC SCHS,BENJAMIN F. YANCEY ELEM,Elem,KG,5,Science,44
ALBEMARLE CO PBLC SCHS,BROADUS WOOD ELEM,Elem,PK,5,English: Reading,80
ALBEMARLE CO PBLC SCHS,BROADUS WOOD ELEM,Elem,PK,5,History & Social Sciences,77
ALBEMARLE CO PBLC SCHS,BROADUS WOOD ELEM,Elem,PK,5,Mathematics,74
ALBEMARLE CO PBLC SCHS,BROADUS WOOD ELEM,Elem,PK,5,Science,77
ALBEMARLE CO PBLC SCHS,BROWNSVILLE ELEM,Elem,PK,5,English: Reading,87
ALBEMARLE CO PBLC SCHS,BROWNSVILLE ELEM,Elem,PK,5,History & Social Sciences,95
ALBEMARLE CO PBLC SCHS,BROWNSVILLE ELEM,Elem,PK,5,Mathematics,86
ALBEMARLE CO PBLC SCHS,BROWNSVILLE ELEM,Elem,PK,5,Science,85
ALBEMARLE CO PBLC SCHS,CROZET ELEM,Elem,KG,5,English: Reading,73
ALBEMARLE CO PBLC SCHS,CROZET ELEM,Elem,KG,5,History & Social Sciences,92
ALBEMARLE CO PBLC SCHS,CROZET ELEM,Elem,KG,5,Mathematics,74
ALBEMARLE CO PBLC SCHS,CROZET ELEM,Elem,KG,5,Science,71
ALBEMARLE CO PBLC SCHS,HOLLYMEAD ELEM,Elem,PK,5,English: Reading,89
ALBEMARLE CO PBLC SCHS,HOLLYMEAD ELEM,Elem,PK,5,History & Social Sciences,87
ALBEMARLE CO PBLC SCHS,HOLLYMEAD ELEM,Elem,PK,5,Mathematics,90
ALBEMARLE CO PBLC SCHS,HOLLYMEAD ELEM,Elem,PK,5,Science,92
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,English: Reading,74
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,English: Writing,72
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,History & Social Sciences,86
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,Mathematics,78
ALBEMARLE CO PBLC SCHS,JACK JOUETT MIDDLE,Middle,6,8,Science,76
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,English: Reading,76
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,English: Writing,78
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,History & Social Sciences,83
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,Mathematics,86
ALBEMARLE CO PBLC SCHS,JACKSON P. BURLEY MIDDLE,Middle,6,8,Science,75
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,English: Reading,86
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,English: Writing,87
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,History & Social Sciences,91
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,Mathematics,88
ALBEMARLE CO PBLC SCHS,JOSEPH T. HENLEY MIDDLE,Middle,6,8,Science,86
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,English: Reading,75
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,English: Writing,71
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,History & Social Sciences,80
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,Mathematics,81
ALBEMARLE CO PBLC SCHS,LESLIE H. WALTON MIDDLE,Middle,6,8,Science,76
ALBEMARLE CO PBLC SCHS,MARY CARR GREER ELEM,Elem,PK,5,English: Reading,68
ALBEMARLE CO PBLC SCHS,MARY CARR GREER ELEM,Elem,PK,5,History & Social Sciences,83
ALBEMARLE CO PBLC SCHS,MARY CARR GREER ELEM,Elem,PK,5,Mathematics,59
ALBEMARLE CO PBLC SCHS,MARY CARR GREER ELEM,Elem,PK,5,Science,65
ALBEMARLE CO PBLC SCHS,MERIWETHER LEWIS ELEM,Elem,KG,5,English: Reading,91
ALBEMARLE CO PBLC SCHS,MERIWETHER LEWIS ELEM,Elem,KG,5,History & Social Sciences,99
ALBEMARLE CO PBLC SCHS,MERIWETHER LEWIS ELEM,Elem,KG,5,Mathematics,85
ALBEMARLE CO PBLC SCHS,MERIWETHER LEWIS ELEM,Elem,KG,5,Science,95
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,English: Reading,87
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,English: Writing,78
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,History & Social Sciences,78
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,Mathematics,70
ALBEMARLE CO PBLC SCHS,MONTICELLO HIGH,High,9,12,Science,80
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,English: Reading,84
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,English: Writing,78
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,History & Social Sciences,94
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,Mathematics,84
ALBEMARLE CO PBLC SCHS,MORTIMER Y. SUTHERLAND MIDDLE,Middle,6,8,Science,82
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,English: Reading,91
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,English: Writing,87
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,History & Social Sciences,86
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,Mathematics,61
ALBEMARLE CO PBLC SCHS,MURRAY HIGH,High,9,12,Science,92
ALBEMARLE CO PBLC SCHS,PAUL H. CALE ELEM,Elem,PK,5,English: Reading,64
ALBEMARLE CO PBLC SCHS,PAUL H. CALE ELEM,Elem,PK,5,History & Social Sciences,74
ALBEMARLE CO PBLC SCHS,PAUL H. CALE ELEM,Elem,PK,5,Mathematics,59
ALBEMARLE CO PBLC SCHS,PAUL H. CALE ELEM,Elem,PK,5,Science,59
ALBEMARLE CO PBLC SCHS,RED HILL ELEM,Elem,PK,5,English: Reading,70
ALBEMARLE CO PBLC SCHS,RED HILL ELEM,Elem,PK,5,History & Social Sciences,79
ALBEMARLE CO PBLC SCHS,RED HILL ELEM,Elem,PK,5,Mathematics,58
ALBEMARLE CO PBLC SCHS,RED HILL ELEM,Elem,PK,5,Science,63
ALBEMARLE CO PBLC SCHS,SCOTTSVILLE ELEM,Elem,PK,5,English: Reading,81
ALBEMARLE CO PBLC SCHS,SCOTTSVILLE ELEM,Elem,PK,5,History & Social Sciences,100
ALBEMARLE CO PBLC SCHS,SCOTTSVILLE ELEM,Elem,PK,5,Mathematics,93
ALBEMARLE CO PBLC SCHS,SCOTTSVILLE ELEM,Elem,PK,5,Science,84
ALBEMARLE CO PBLC SCHS,STONE ROBINSON ELEM,Elem,PK,5,English: Reading,78
ALBEMARLE CO PBLC SCHS,STONE ROBINSON ELEM,Elem,PK,5,History & Social Sciences,85
ALBEMARLE CO PBLC SCHS,STONE ROBINSON ELEM,Elem,PK,5,Mathematics,85
ALBEMARLE CO PBLC SCHS,STONE ROBINSON ELEM,Elem,PK,5,Science,81
ALBEMARLE CO PBLC SCHS,STONY POINT ELEM,Elem,KG,5,English: Reading,75
ALBEMARLE CO PBLC SCHS,STONY POINT ELEM,Elem,KG,5,History & Social Sciences,74
ALBEMARLE CO PBLC SCHS,STONY POINT ELEM,Elem,KG,5,Mathematics,73
ALBEMARLE CO PBLC SCHS,STONY POINT ELEM,Elem,KG,5,Science,74
ALBEMARLE CO PBLC SCHS,VIRGINIA L. MURRAY ELEM,Elem,PK,5,English: Reading,91
